U-6,PT6A-25,100% torque (98.1% RPM),,,,,,,,,,,,,,,,,
   (ft),0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,95.7,95.2,93.6,92.1,93.7,93.8,95.5,96.2,97.2,97,97.7,97,97.5,96.6,96.4,92.7,75.7,67.6,67.1
250,93.5,93.1,91.4,89.9,91.5,91.6,93.4,94.1,95.1,94.9,95.7,94.9,95.4,94.4,94.3,90.6,73.6,65.5,65
315,91.4,90.9,89.2,87.6,89.2,89.3,91.1,91.9,92.9,92.8,93.5,92.7,93.2,92.3,92.1,88.4,71.5,63.3,62.9
400,89.2,88.8,86.9,85.4,86.9,87,88.9,89.6,90.7,90.7,91.4,90.6,91.1,90.1,89.9,86.2,69.3,61.2,60.7
500,87,86.6,84.7,83,84.6,84.7,86.5,87.4,88.5,88.5,89.2,88.4,88.8,87.8,87.6,83.9,67.2,59,58.6
630,84.8,84.3,82.3,80.6,82.1,82.2,84.2,85,86.2,86.3,87,86.2,86.6,85.5,85.3,81.5,65,56.8,56.4
800,82.5,82,79.9,78.2,79.6,79.7,81.7,82.6,83.8,84.1,84.8,83.9,84.3,83.2,82.9,79.1,62.7,54.6,54.2
1000,80.1,79.7,77.5,75.7,77,77.1,79.1,80.2,81.4,81.8,82.5,81.6,81.9,80.7,80.4,76.6,60.4,52.2,52
1250,77.7,77.3,75,73.1,74.3,74.4,76.5,77.6,78.9,79.4,80.2,79.2,79.4,78.2,77.8,74,58.1,49.9,49.7
1600,75.2,74.8,72.4,70.4,71.5,71.5,73.7,74.9,76.4,77.1,77.8,76.7,76.9,75.6,75.1,71.3,55.7,47.5,47.4
2000,72.6,72.2,69.7,67.7,68.6,68.6,70.9,72.2,73.7,74.6,75.3,74.2,74.2,72.8,72.3,68.4,53.2,45,45
2500,70,69.5,67,64.9,65.6,65.6,67.8,69.4,71,72.1,72.8,71.6,71.5,70,69.3,65.4,50.7,42.4,42.6
3150,67.2,66.8,64.1,62,62.4,62.4,64.7,66.4,68.2,69.6,70.2,69,68.6,67,66.2,62.3,48.1,39.7,40.1
4000,64.3,63.8,61.2,59,59.1,59.2,61.5,63.4,65.3,67,67.6,66.3,65.7,63.9,62.9,59,45.5,37,37.6
5000,61.2,60.8,58.1,56,55.7,56,58.2,60.4,62.5,64.3,64.9,63.5,62.6,60.7,59.5,55.5,42.8,34.2,35
6300,58,57.5,55,52.9,52.2,52.8,54.9,57.4,59.6,61.7,62.2,60.7,59.6,57.3,56,51.9,40.1,31.3,32.4
8000,54.6,54.1,51.7,49.7,48.8,49.6,51.6,54.4,56.7,58.9,59.5,58,56.5,54,52.5,48.3,37.4,28.4,29.8
10000,51,50.4,48.2,46.4,45.2,46.4,48.5,51.5,53.9,56.2,56.8,55.2,53.4,50.6,49,44.8,34.6,25.4,27.1
12500,47.1,46.6,44.7,43,41.7,43.3,45.5,48.5,51,53.4,54,52.4,50.4,47.3,45.6,41.3,31.7,22.4,24.3
16000,43.1,42.5,40.9,39.4,38.1,40,42.4,45.6,48,50.4,51.1,49.5,47.4,44.1,42.2,37.9,28.8,19.4,21.5
20000,38.8,38.1,36.9,35.6,34.3,36.7,39.3,42.5,44.9,47.4,48,46.5,44.3,40.8,38.8,34.5,25.7,16.4,18.6
25000,34.1,33.4,32.7,31.5,30.3,33.2,36.1,39.3,41.7,44.1,44.8,43.3,41.2,37.5,35.2,31.1,22.5,13.3,15.7
