Code,Aircraft,Power
M00101,F100-PW-100,92
M00101,F100-PW-100,92
M00101,F100-PW-100,80
M00102,J75-P-17,103
M00102,J75-P-17,103
M00102,J75-P-17,90
M00103,J75-P-19,103
M00103,J75-P-19,103
M00103,J75-P-19,91
M00104,J79-GE-15,100
M00104,J79-GE-15,85
M00105,TF30-P-100,96
M00105,TF30-P-100,96
M00105,TF30-P-100,85
M00106,TF41-A-1,99
M00106,TF41-A-1,95
M00106,TF41-A-1,85
M00107,GRADE I,100
M00108,GRADE II,100
M00109,GRADE III,100
M00110,TEST CELL,100
M00110,TEST CELL,100
M00110,TEST CELL,70
M00110,TEST CELL,80
M00111,TEST STAND,20000
M00111,TEST STAND,4000
M00111,TEST STAND,500
M00201,A-3,97
M00201,A-3,53
M00201,A-3,70
M00301,A-4C,99
M00301,A-4C,57
M00301,A-4C,75
M00401,A-5C,100
M00401,A-5C,100
M00401,A-5C,65
M00401,A-5C,80
M00501,A-6A,99
M00501,A-6A,60
M00501,A-6A,75
M00601,A-7E,94
M00601,A-7E,55
M00601,A-7E,85
M00601,A-7E,70
M00601,A-7E,99.5
M00602,A-7,96
M00602,A-7,55
M00602,A-7,85
M00602,A-7,70
M00603,A-7,97.7
M00603,A-7,70
M00603,A-7,54.4
M00603,A-7,85.6
M00701,AV-8A,27
M00701,AV-8A,55
M00701,AV-8A,98
M00702,AV-8B,95
M00702,AV-8B,27
M00702,AV-8B,85
M00702,AV-8B,70
M00702,AV-8B,55
M00703,AV-8B,29
M00703,AV-8B,40
M00703,AV-8B,60
M00703,AV-8B,114
M00703,AV-8B,107
M00703,AV-8B,112
M00901,A-10A,5475
M00901,A-10A,1778
M00901,A-10A,5970
M01001,A-37,100
M01001,A-37,46
M01001,A-37,85
M01101,C-123K,2200
M01101,C-123K,2700
M01101,C-123K,650
M01101,C-123K,1000
M01101,C-123K,2700
M01201,B-1,97.6
M01201,B-1,97.2
M01201,B-1,70.5
M01301,B-2A,87
M01301,B-2A,44
M01301,B-2A,20
M01301,B-2A,31
M01401,B-52B&D&E,61
M01401,B-52B&D&E,90
M01401,B-52B&D&E,80
M01401,B-52B&D&E,94
M01402,B-52G,61
M01402,B-52G,90
M01402,B-52G,80
M01402,B-52G,94
M01403,B-52H,1000
M01403,B-52H,5000
M01403,B-52H,1900
M01403,B-52H,8700
M01403,B-52H,7600
M01501,B-57E&G,101
M01501,B-57E&G,50
M01501,B-57E&G,85
M01601,C-5A,1.6
M01601,C-5A,1.1
M01601,C-5A,3.5
M01601,C-5A,2.5
M01601,C-5A,4.4
M01602,C-5MX,102
M01701,C-7A,2450
M01701,C-7A,600
M01701,C-7A,1000
M01701,C-7A,2675
M01801,C-9A,1
M01801,C-9A,2
M01801,C-9A,1.7
M01801,C-9A,1.8
M01901,C-12,60
M01901,C-12,94
M01901,C-12,96
M01901,C-12,97
M01901,C-12,98
M01901,C-12,98.1
M02001,C-17,92
M02001,C-17,77
M02001,C-17,95
M02001,C-17,86
M02001,C-17,94
M02101,C-18A,1.6
M02101,C-18A,1
M02101,C-18A,1.3
M02101,C-18A,1.1
M02101,C-18A,1
M02101,C-18A,1.8
M02201,C-20,500
M02201,C-20,11400
M02201,C-20,2000
M02301,C-21A,96
M02301,C-21A,60
M02301,C-21A,90
M02301,C-21A,80
M02301,C-21A,70
M02401,C-22,1
M02401,C-22,2
M02401,C-22,1.7
M02401,C-22,1.8
M02501,C-23,60
M02501,C-23,94
M02501,C-23,96
M02501,C-23,97
M02501,C-23,98
M02501,C-23,98.1
M02601,C-118,2050
M02601,C-118,800
M02601,C-118,1000
M02601,C-118,2800
M02701,C-119L,2100
M02701,C-119L,750
M02701,C-119L,1000
M02701,C-119L,2900
M02701,C-119L,1800
M02801,C-121,2050
M02801,C-121,700
M02801,C-121,1200
M02801,C-121,2900
M02801,C-121,1700
M02901,C-130A&D,775
M02901,C-130A&D,625
M02901,C-130A&D,560
M02901,C-130A&D,970
M02902,C-130E,775
